time,performance
9,0
9.00003,0
9.00004,0
9.00005,0
9.00006,0
9.00009,0
9.00012,0
9.00015,0
9.00018,0
9.00021,0
9.00024,0
9.00027,0
9.0003,0
9.00033,0
9.00036,0
9.00039,0
9.00042,0
9.00045,0
9.00046,5.44767
9.00048,5.44767
9.00051,5.44767
9.00054,5.44767
9.00057,5.44767
9.0006,5.44767
9.00063,5.44767
9.00066,5.44767
9.00069,5.44767
9.00072,5.44767
9.00075,5.44767
9.00078,5.44767
9.00081,5.44767
9.00084,5.44767
9.00087,5.44767
9.0009,5.44767
9.00093,5.44767
9.00095,5.44767
9.00096,5.44767
9.00099,5.44767
9.00102,5.44767
9.00105,5.44767
9.00108,5.44767
9.00111,5.44767
9.00114,5.44767
9.00117,5.44767
9.0012,5.44767
9.00123,5.44767
9.00126,5.44767
9.00129,5.44767
9.00132,5.44767
9.00135,5.44767
9.00138,5.44767
9.0014,5.44767
9.00141,5.44767
9.00144,5.44767
9.00147,5.44767
9.0015,5.44767
9.00153,5.44767
9.00156,5.44767
9.00159,5.44767
9.00162,5.44767
9.00165,5.44767
9.00168,5.44767
9.00168,5.44767
9.00171,5.44767
9.00174,5.44767
9.00177,5.44767
9.0018,5.44767
9.00183,5.44767
9.00186,5.44767
9.00189,5.44767
9.00192,5.44767
9.00195,5.44767
9.00198,5.44767
9.00201,5.44767
9.00204,5.44767
9.00204,5.44767
9.00207,5.44767
9.0021,5.44767
9.0021,5.44767
9.00213,5.44767
9.00216,5.44767
9.00217,5.44767
9.00219,5.44767
9.00222,5.44767
9.00223,5.44767
9.00225,5.44767
9.00228,5.44767
9.00231,5.44767
9.00232,3.49627
9.00234,3.49627
9.00237,3.49627
9.0024,3.49627
9.00243,3.49627
9.00246,3.49627
9.00249,3.49627
9.00252,3.49627
9.00255,3.49627
9.00258,3.49627
9.00261,3.49627
9.00264,3.49627
9.00267,3.49627
9.0027,3.49627
9.00273,3.49627
9.00276,3.49627
9.00279,3.49627
9.00282,3.49627
9.00285,3.49627
9.00288,3.49627
9.00291,3.49627
9.00294,3.49627
9.00297,3.49627
9.003,3.49627
9.00303,3.49627
9.00306,3.49627
9.00309,3.49627
9.00312,3.49627
9.00315,3.49627
9.00318,3.49627
9.00321,3.49627
9.00324,3.49627
9.00327,3.49627
9.0033,3.49627
9.00333,3.49627
9.00336,3.49627
9.00336,3.49627
9.00339,3.49627
9.00342,3.49627
9.00345,3.49627
9.00348,3.49627
9.00351,3.49627
9.00354,3.49627
9.00357,3.49627
9.0036,3.49627
9.00363,3.49627
9.00366,3.49627
9.00369,3.49627
9.00372,3.49627
9.00375,3.49627
9.00378,3.49627
9.00381,3.49627
9.00384,3.49627
9.00387,3.49627
9.0039,3.49627
9.00393,3.49627
9.00396,3.49627
9.00397,2.73977
9.00399,2.73977
9.00402,2.73977
9.00404,2.73977
9.00405,2.73977
9.00408,2.73977
9.00411,2.73977
9.00414,2.73977
9.00417,2.73977
9.00417,2.73977
9.0042,2.73977
9.00423,2.73977
9.00426,2.73977
9.00428,2.73977
9.00429,2.73977
9.00432,2.73977
9.00435,2.73977
9.00436,2.73977
9.00438,2.73977
9.00441,2.73977
9.00444,2.73977
9.00447,2.73977
9.0045,2.73977
9.00453,2.73977
9.00456,2.73977
9.00459,2.73977
9.00462,2.73977
9.00465,2.73977
9.00468,2.73977
9.00471,2.73977
9.00474,2.73977
9.00477,2.73977
9.0048,2.73977
9.00483,2.73977
9.00484,2.73977
9.00486,2.73977
9.00489,2.73977
9.00492,2.73977
9.00495,2.73977
9.00498,2.73977
9.00499,1.99362
9.00501,1.99362
9.00504,1.99362
9.00506,1.99362
9.00507,1.99362
9.00507,1.99362
9.0051,1.99362
9.0051,1.99362
9.00513,1.99362
9.00516,1.99362
9.00519,1.99362
9.00522,1.99362
9.00525,1.99362
9.00528,1.99362
9.00529,1
9.00531,1
9.00534,1
9.00537,1
9.0054,1
9.00543,1
9.00546,1
9.00549,1
9.00552,1
9.00555,1
9.00558,1
9.00561,1
9.00564,1
9.00567,1
9.0057,1
9.00573,1
9.00576,1
9.00579,1
9.00582,1
9.00585,1
9.00588,1
9.00591,1
9.00594,1
9.00596,1
9.00597,1
9.006,1
9.00603,1
9.00606,1
9.00609,1
9.00612,1
9.00615,1
9.00618,1
9.00621,1
9.00624,1
9.00627,1
9.0063,1
9.00633,1
9.00636,1
9.00639,1
9.00642,1
9.00645,1
9.00648,1
9.00651,0.60608
9.00651,0.60608
9.00654,0.60608
9.00657,0.60608
9.0066,0.60608
9.00663,0.60608
9.00666,0.60608
9.00669,0.60608
9.00672,0.60608
9.00672,0.60608
9.00675,0.60608
9.00678,0.60608
9.00681,0.60608
9.00684,0.60608
9.00687,0.60608
9.0069,0.60608
9.00693,0.60608
9.00696,0.60608
9.00699,0.60608
9.00702,0.60608
9.00705,0.60608
9.00708,0.60608
9.00711,0.60608
9.00714,0.60608
9.00715,0.602185
9.00717,0.602185
9.0072,0.602185
9.00723,0.602185
9.00726,0.602185
9.00729,0.602185
9.0073,0.59834
9.00732,0.59834
9.00735,0.59834
9.00738,0.59834
9.00741,0.59834
9.00744,0.59834
9.00747,0.59834
9.0075,0.59834
9.00752,0.59834
9.00753,0.59834
9.00756,0.59834
9.00759,0.59834
9.00762,0.59834
9.00765,0.59834
9.00768,0.59834
9.00771,0.59834
9.00774,0.59834
9.00777,0.59834
9.0078,0.59834
9.00782,0.481748
9.00783,0.481748
9.00786,0.481748
9.00789,0.481748
9.00792,0.481748
9.00795,0.481748
9.00798,0.481748
9.00801,0.481748
9.00804,0.481748
9.00807,0.481748
9.0081,0.481748
9.00813,0.481748
9.00816,0.481748
9.00819,0.481748
9.00822,0.481748
9.00825,0.481748
9.00828,0.481748
9.00831,0.481748
9.00834,0.481748
9.00837,0.481748
9.00839,0.481748
9.0084,0.481748
9.00843,0.481748
9.00846,0.481748
9.00849,0.481501
9.00849,0.481501
9.00852,0.481501
9.00855,0.481501
9.00858,0.481501
9.00861,0.481501
9.00862,0.568568
9.00864,0.568568
9.00867,0.568568
9.0087,0.568568
9.00873,0.568568
9.00876,0.568568
9.00879,0.568568
9.00882,0.568568
9.00882,0.568568
9.00885,0.568568
9.00888,0.568568
9.00891,0.568568
9.00894,0.568568
9.00897,0.568568
9.009,0.568568
9.00903,0.568568
9.00906,0.568568
9.00909,0.568568
9.00912,0.568568
9.00915,0.568568
9.00915,0.568568
9.00915,0.598722
9.00918,0.598722
9.00921,0.598722
9.00924,0.598722
9.00927,0.598722
9.0093,0.598722
9.00933,0.598722
9.00936,0.598722
9.00939,0.598722
9.00942,0.598722
