time,performance
29.003,9.46465
29.0035,4.98404
29.0073,2.47884
29.0118,4.10965
29.021,3.28772
29.0255,4.73232
29.0301,0
29.0347,4.98404
29.035,1.6324
29.0376,1.60445
29.0392,1.04927
29.0437,1.6072
29.0475,1.67321
29.0483,1.19363
29.0528,2.5393
29.0574,1.74813
29.0619,1.67023
29.0665,1.64386
29.0709,1.39227
29.0751,2.57418
29.0753,2.35427
29.0798,2.18925
29.0815,1.81589
29.0828,1.4197
29.0844,1.86282
29.0889,1.42835
29.0904,2.56011
29.092,2.48541
29.0936,3.52256
29.095,1.1262
29.0981,1.15394
29.1026,1.13164
29.1044,3.19795
29.1072,1.92798
29.1073,1.95208
29.1117,2.09152
29.1163,2.0962
29.1181,2.30788
29.1192,1.01627
29.1208,1.05045
29.1234,1.29778
29.1255,1.1801
29.13,1.45723
29.1345,1.01188
29.139,1.57215
29.1404,1.71927
29.1435,1.31601
29.1503,1.23127
29.1526,1.3272
29.157,3.34643
29.158,3.77823
29.1615,1.09719
29.164,1.07577
29.1656,1.02181
29.1659,0.917728
29.1706,1.52855
29.1753,0.697173
29.1754,0.718008
29.1799,0.89837
29.1844,1.52855
29.1888,0.761789
29.1934,0.826279
29.1977,1.23289
29.1979,1.68829
29.2025,1.09463
29.2056,1.34626
29.2069,1.80192
29.2114,1.64386
29.214,1.92008
29.2157,2.13927
29.219,2.60278
29.2203,2.12955
29.2214,1.44376
29.2248,1.64675
29.225,1.48967
29.2252,2.06843
29.2271,2.30788
29.2293,1.81942
29.233,1.7256
29.2338,1.66135
29.2381,1.25941
29.2383,1.43712
29.2415,1.32908
29.2428,1.17419
29.2472,1.46406
29.2517,3.748
29.2563,1.24601
29.2608,1.14828
29.2654,1.20282
29.2667,0.959058
29.2695,0.987355
29.27,0.788721
29.2726,0.786734
29.2732,1.08953
29.2746,1.10106
29.2761,1.05281
29.2833,0.931412
29.2878,1.05281
29.2904,0.665011
29.2923,0.663598
29.2949,1.11019
29.2958,0.932338
29.2967,0.823374
29.2971,0.830674
29.2976,0.802226
29.3015,0.85337
29.3063,1.15252
29.3086,1.00644
29.3107,0.787395
29.3109,0.517966
29.3154,0.520556
29.3168,0.895793
29.3238,1.0481
29.3244,1.06842
29.3249,1.03194
29.3251,1.05637
29.3289,1.06842
29.3335,1.04576
29.3362,1.07454
29.3379,0.964985
29.3389,0.932338
29.3412,0.85337
29.3426,0.957099
29.3469,1.08575
29.3509,0.734326
29.3515,0.671685
29.3539,0.665483
29.356,0.651599
29.3604,1.35797
29.3606,1.75797
29.365,1.07701
29.3679,1.10106
29.3697,1.25772
29.3712,1.19211
29.3788,1.29241
29.3822,1.31417
29.3869,1.31601
29.3877,1.14548
29.3904,1.08953
29.3923,0.899232
29.3963,1.0207
29.3968,1.51618
29.4014,1.49442
29.404,1.93996
29.4059,2.06843
29.4149,2.0194
29.4176,1.62957
29.4196,1.49204
29.4242,1.66135
29.4288,1.45046
29.4333,1.60171
29.4379,1.50401
29.4424,1.83008
29.4425,2.01073
29.4469,1.57744
29.4515,2.01073
29.4561,1.59083
29.4605,1.93996
29.4632,1.61552
29.4648,1.64386
29.4693,1.53105
29.4697,1.5211
29.4716,1.47559
29.4719,1.00429
29.4737,1.01737
29.4741,0.983211
29.4771,0.736635
29.478,0.545084
29.4783,1.16398
29.4827,0.443236
29.4829,0.452438
29.483,0.491864
29.4833,1.33857
29.4873,2.15899
29.4916,2.1344
29.4919,1.80539
29.4963,2.15899
29.5002,2.10562
29.5009,2.18925
29.5011,1.92402
29.5017,0.894938
29.5019,0.979101
29.5053,0.990486
29.5099,0.809154
29.5099,0.82847
29.5143,1.02181
29.5188,1.02854
29.5199,1.01627
29.5207,1.06236
29.5233,1.0308
29.5241,1.03194
29.528,1.06356
29.5327,2.46579
29.5372,5.44767
29.5416,0.838104
29.5463,0.638718
29.5494,0.676534
29.5501,0.862799
29.5508,0.819773
29.5526,0.696654
29.5552,0.739542
29.557,0.554438
29.5587,0.541618
29.5596,0.668331
29.5623,1.00429
29.5639,1.05163
29.5644,1.3639
29.569,1.31049
29.5695,1.43492
29.573,1.14129
29.5734,0.803602
29.5734,0.983211
29.5779,1.20282
29.5823,0.83363
29.5868,0.983211
29.5893,1.16979
29.5913,4.61576
29.5956,1.0481
29.5966,0.938878
29.6035,1.03765
29.6047,1.67621
29.6091,0.955148
29.6136,1.04459
29.6161,1.76792
29.6182,1.42401
29.6227,1.74813
29.6229,1.63525
29.6269,1.08953
29.6272,1.08827
29.6317,1.18458
29.6362,0.739542
29.6398,0.72805
29.641,0.612018
29.6455,0.802226
29.6463,0.759935
29.6489,0.690494
29.6496,0.673132
29.6501,0.692024
29.6545,0.636549
29.659,0.907946
29.6621,0.940763
29.6634,0.863594
29.6654,0.923153
29.6679,0.760552
29.668,0.670723
29.6725,0.718008
29.6771,0.776949
29.6828,2.23095
29.6863,1.6072
29.6871,1.78476
29.6909,1.78817
29.6926,0.722994
29.6954,0.772465
29.7001,0.650243
29.7044,0.680465
29.7051,0.684942
29.7059,0.56548
29.7084,0.537271
29.709,0.542559
29.7135,0.524049
29.7166,0.605297
29.7183,0.633108
29.7215,0.524049
29.7228,0.493678
29.7246,0.496819
29.7247,0.521425
29.7274,0.556413
29.7312,1.32345
29.7319,1.35209
29.7337,1.98938
29.7362,1.23942
29.7363,0.933267
29.7369,0.992585
29.7408,1.27483
29.7432,1.37189
29.7452,1.25772
29.7497,1.13164
29.7543,1.14828
29.7571,1.93196
29.7578,1.82651
29.7587,2.25783
29.7632,2.48541
29.7676,2.42746
29.7721,1.59083
29.7766,1.84449
29.781,2.50535
29.7853,2.48541
29.7898,1.93595
29.7942,1.82651
29.7989,2.04585
29.8007,1.77799
29.802,0.507309
29.8034,0.510905
29.8064,0.512582
29.8078,0.508963
29.8091,0.539436
29.8123,0.512022
29.817,1.94398
29.8198,0.577326
29.8214,0.627175
29.8259,0.595299
29.8294,0.526404
29.8304,0.665956
29.8305,0.659859
29.832,2.90994
29.835,2.10562
29.8425,2.06388
29.8441,2.94654
29.8486,2.41495
29.8531,2.0194
29.855,1.75468
29.8578,2.30788
29.8612,1.01517
29.8624,1.03536
29.8668,1.01407
29.8671,1.85178
29.8702,1.83725
29.8716,1.18608
29.876,1.2628
29.8772,3.748
29.8805,2.63944
29.8851,4.05628
29.8895,4.03879
29.8941,3.2993
29.8987,3.85597
29.9031,3.82449
29.9076,3.23103
29.9122,3.748
29.9166,3.82449
29.921,2.76401
29.9255,3.1443
29.9301,3.23103
29.9347,3.82449
29.9395,3.28772
29.9441,3.82449
29.9487,2.76401
29.9503,2.28537
29.9532,0.926805
29.9577,2.26877
29.9621,0.836607
29.9661,0.860422
29.9667,0.80154
29.9681,0.783445
29.9713,3.44485
29.976,0.844905
29.9799,0.87652
29.9805,0.800171
29.9851,0.741884
29.9859,0.819056
29.9866,0.646207
29.9876,0.696654
29.9896,0.814075
29.9939,0.773102
29.9942,0.761789
29.9984,0.755036
29.9987,3.44485
