time,performance
2.00448,0.446403
2.00495,0.428441
2.00513,0.363178
2.00532,0
2.00632,0.33286
2.0066,0.331212
2.00662,0.323326
2.00682,0.327165
2.00746,0.819056
2.00836,0.341472
2.00899,0.357907
2.00931,0.338389
2.00979,0.739542
2.00987,0.741297
2.01017,0.351727
2.01023,0.36346
2.0103,0.404228
2.01054,0.366875
2.01066,0.407569
2.01071,0.333333
2.01121,0.316447
2.01209,0.391232
2.01251,0.392379
2.013,0.3258
2.01343,0.325573
2.01415,0.538815
2.0142,0.446403
2.01429,0.32935
2.01439,0.451349
2.01476,0.331095
2.01484,0.314746
2.01493,0.400599
2.01528,0.395693
2.01529,0.362616
2.01546,0.362476
2.01555,0.36516
2.0159,0.311399
2.01657,0.441773
2.0169,0.444076
2.01701,0.327051
2.01741,0.427659
2.01749,0.434601
2.01757,0.328772
2.01789,0.355463
2.01823,0.36516
2.01838,0.640903
2.01852,0.669764
2.01879,0.327508
2.01897,0.575553
2.01907,0.480513
2.01923,0.526109
2.01958,0.330628
2.0196,0.419239
2.01966,0.415705
2.02022,0.413322
2.02036,0.344359
2.02108,0.515118
2.02132,0.487006
2.02138,0.340851
2.02169,0.48499
2.0219,0.489295
2.02217,0.578752
2.02227,0.413687
2.02251,0.471328
2.02288,0.467565
2.02303,0.444708
2.02333,0.309445
2.02373,0.446616
2.02381,0.415337
2.02395,0.4344
2.02441,0.328541
2.0259,0.498139
2.02594,0.325121
2.02639,0.808456
2.02645,0.318707
2.02726,0.395359
2.02752,0.374351
2.02752,0.625501
2.02796,0.378586
2.0286,0.467332
2.02919,0.464321
2.02934,0.603737
2.02938,0.367163
2.03046,0.53148
2.03046,0
2.0305,0.552476
2.03052,0.377823
2.03163,0.648443
2.03209,0.601026
2.03249,0.577682
2.03257,0.364875
2.03362,0.560072
2.03394,0.544451
2.03424,0.556744
2.03478,0.555753
2.03499,0.540681
2.03556,0.49472
2.03622,0.500534
2.03624,0.389929
2.03628,0.332741
2.03663,0.424558
2.03667,0.519689
2.03676,0.536041
2.03686,0.561751
2.03757,0.431201
2.03816,0.335482
2.03849,0.522297
2.03876,0
2.03896,0.512022
2.03908,0.321662
2.03931,0.427074
2.03934,0.428833
2.03937,0.302649
2.03971,0.306309
2.03979,0.291084
2.03986,0.310676
2.04036,0.354924
2.0404,0.39653
2.0405,0.327508
2.04084,0.437646
2.04111,0.342096
2.04183,0.392543
2.04189,0.394194
2.04214,0.329813
2.04315,0.874067
2.04336,0.514552
2.04345,0.5267
2.0435,0.521715
2.04361,0.522006
2.04405,0.549883
2.04419,0.353052
2.04467,0.340603
2.04473,0.361497
2.04502,0.758091
2.04522,0.573089
2.04537,0.532084
2.04619,0.49867
2.0463,0.504306
2.04675,0.832149
2.04704,0
2.04786,0.47636
2.04802,0.44897
2.04825,0.505394
2.04828,0.518826
2.04855,0.468032
2.04869,0.34614
2.04896,0.340603
2.04944,0.398046
2.04992,0
2.05056,0.344106
2.0517,0
2.05172,0.345501
2.05209,0.340232
2.05222,0.343979
2.05232,0.348327
2.05234,0.420745
2.05245,0.379968
2.0525,0.384647
2.05283,0.38687
2.05284,0.361358
2.05362,0.419427
2.05367,0.408813
2.05475,0.378586
2.05503,0.550852
2.05514,0.369334
2.05524,0.322325
2.05584,0
2.05623,0.333333
2.05642,0.337414
2.0565,0.404752
2.05653,0
2.05689,0.376305
2.05698,0.374351
2.05725,0.339862
2.0591,0.559069
2.05945,0.530578
2.05959,0.331681
2.06039,0.427269
2.0608,0.423599
2.06084,0
2.06108,0.960041
2.06111,0.337536
2.06141,0.422262
2.06162,0.420557
2.06174,0.353852
2.06198,0.453753
2.06204,0.388635
2.06364,0.582349
2.0638,0.660324
2.06407,0.573439
2.06428,0.395359
2.06492,0.507584
2.06506,0.397708
2.06508,0.403358
2.06513,0.410965
2.06524,0.415705
2.06526,0.381204
2.06586,0.464321
2.06598,0.763029
2.06627,0.623005
2.06695,0.339493
2.06794,0.544451
2.06861,0.534817
2.06895,0.355463
2.06895,0.98944
2.06921,0.361776
2.06931,0.358866
2.06932,0.38167
2.0694,0.90444
2.06952,0.383702
2.06958,0.382137
2.06973,0.367163
2.07026,0.393697
2.07052,0.401629
2.07075,0.458864
2.07077,0.364733
2.07096,0.367595
2.07112,0.878163
2.07177,0.37465
2.07204,0.390742
2.07207,0.376305
2.07248,0.392872
2.07318,0.37767
2.07327,0.776949
2.07333,0.369334
2.07341,0
2.0738,0.365302
2.07462,0.515969
2.07509,0.426491
2.07518,0.397708
2.07535,0.359279
2.07669,0
2.07681,0.392872
2.07714,0.37495
2.07726,0.308021
2.07755,0
2.07794,0.659859
2.07798,0.314535
2.07886,0.335242
2.07924,0.858845
2.07936,0.839606
2.07942,0.532386
2.07948,0.364875
2.07983,0.54956
2.08009,0.342596
2.08035,0.338389
2.08166,0.343979
2.08179,0.900096
2.08189,0.347294
2.08202,0.414969
2.08203,0.389767
2.0821,0.32546
2.08214,0.330046
2.08222,0.319033
2.08368,0.870818
2.08393,0.45685
2.0841,0.484739
2.0844,0.360385
2.08478,0.580905
2.08541,0.487259
2.08549,0.340232
2.08578,0.33937
2.08583,0.343098
2.08616,0.677513
2.08618,0.663598
2.08626,0.652962
2.08627,0.329813
2.0863,0.367451
2.08636,0.342847
2.087,0.345247
2.08726,0.350411
2.08799,0.356681
2.08811,0.425329
2.08823,0.465474
2.08859,0.443445
2.08873,0.444708
2.08899,0.379814
2.08905,0.376305
2.08918,0.360108
2.08964,0.34614
2.08997,0.332623
2.09001,0.350936
2.09028,0
2.09034,0.800855
2.09047,0.402837
2.09049,0
2.09217,0.38912
2.09225,0.360801
2.09237,0
2.09238,0.435409
2.09255,0.333571
2.09296,0.402146
2.09297,0.32935
2.09335,0.361218
2.0934,0.329118
2.09373,0.53148
2.09417,0.341348
2.09461,0.435005
2.09465,0.98944
2.09475,0.396362
2.09488,0.333096
2.09575,0.683942
2.09654,0.760552
2.09659,0.796769
2.09661,0.364591
2.09685,0.457743
2.09694,0.358454
2.09715,0.419052
2.09721,0.364166
2.09761,0.347423
2.09778,0.338879
2.0982,0.351331
2.09838,0.347423
2.0988,0.414785
2.09889,0.341472
2.09943,0.496555
2.09945,0.325573
2.10068,0.792054
2.10077,0.784757
2.10109,0.313693
2.10133,0.372121
2.10136,0.414602
2.10141,0.31443
2.10194,0.35028
2.10237,0.350542
2.10243,0.343098
2.10292,0.332978
2.10303,0.351595
2.10309,0.324896
2.10348,0.359969
2.10352,0.348586
2.10363,0.357361
2.10367,0.302356
2.10459,0.459764
2.10491,0.43785
2.10496,0.292904
2.10516,0.889839
2.10534,0.304517
2.10556,0.391232
2.10562,0.348586
2.10602,0.293638
2.10654,0.324221
2.10705,0
2.10709,0.325009
2.10722,0.339001
2.10723,0.388797
2.10783,0.382137
2.10784,0.760552
2.1081,0.382137
2.1083,0.361218
2.10856,0.321551
2.10903,0.511184
2.10924,0.322992
2.10963,0
2.10971,0.89751
2.10984,0.318816
2.11013,0.394526
2.1105,0.318816
2.11084,0.331212
2.11115,0.647547
2.1113,0.601798
2.11131,0.441149
2.11133,0
2.11151,0.310471
2.11218,0.7841
2.1126,0.359141
2.11287,0.387992
2.11329,0.395693
2.11341,0.376154
2.11379,0
2.11382,0.977059
2.11386,0.863594
2.11413,0.335842
2.11422,0.320014
2.11433,0.434198
2.11459,0.415705
2.11485,0.360246
2.11541,0.696137
2.11551,0.536041
2.11563,0
2.1159,0.353718
2.11707,0.376759
2.11714,0.347166
2.1176,0.684942
2.11789,0.340727
2.118,0
2.11852,0.791385
2.11866,0.781485
2.11888,0.343098
2.11974,0.384963
2.11974,0.364591
2.11999,0
2.12118,0.413139
2.1219,0.34614
2.12211,0.657083
2.12228,0.680959
2.12243,0
2.12271,0.367595
2.12302,0.427269
2.12308,0.442398
2.1231,0.38719
2.12372,0.643986
2.12374,0.383231
2.12384,0.392379
2.12407,0.416075
2.12426,0.566848
2.12492,0.398046
2.12509,0.397877
2.1251,0.333096
2.12547,0.362196
2.12548,0.367884
2.1264,0.484488
2.12643,0.357634
2.12645,0.350936
2.12648,0.317627
2.12655,0.421124
2.12685,0.327622
2.1273,0.472278
2.12745,0.469439
2.1276,0.317304
2.12793,0.567879
2.12821,0.336687
2.12828,0.336929
2.1284,0.460895
2.12841,0.472993
2.12843,0.302942
2.12919,0.619709
2.12956,0.29549
2.12958,0.738377
2.12965,0.301966
2.1306,0.514552
2.13081,0.476845
2.13086,0.50107
2.13107,0.517108
2.13124,0.320232
2.13145,0.348198
2.13159,0.887311
2.13224,0.888152
2.13255,0.816914
2.13264,0.447042
2.1327,0.481996
