time,neuron_index
0.00824014,0,1
0.00826014,0,1
0.00828014,0,1
0.00830014,0,1
0.00832014,0,1
0.00834014,0,1
0.00836014,0,1
0.00838014,0,1
0.00840014,0,1
0.00842014,0,1
0.00844014,0,1
0.00846014,0,1
0.00848014,0,1
0.00850014,0,1
0.00852014,0,1
0.00854014,0,1
0.00856014,0,1
0.00858014,0,1
0.00860014,0,1
0.00862014,0,1
0.00864014,0,1
0.00866014,0,1
0.00868014,0,1
0.00870014,0,1
0.00872014,0,1
0.00874014,0,1
0.00876014,0,1
0.00878014,0,1
0.00880014,0,1
0.00882014,0,1
0.00884014,0,1
0.00886014,0,1
0.00888014,0,1
0.00890014,0,1
0.00891014,1,32
0.00892014,0,1
0.00894014,0,1
0.00896014,0,1
0.00898014,0,1
0.00900014,0,1
0.00902014,0,1
0.00904014,0,1
0.00905014,1,27
0.00906014,0,1
0.00908014,0,1
0.00910014,0,1
0.00912014,0,1
0.00914014,0,1
0.00916014,0,1
0.00918014,0,1
0.00919014,1,12
0.00920014,0,1
0.00922014,0,1
0.00924014,0,1
0.00926014,0,1
0.00928014,0,1
0.00930014,0,1
0.00932014,0,1
0.00934014,0,1
0.00935014,1,18
0.00936014,0,1
0.00938014,0,1
0.00938014,1,33
0.00940014,0,1
0.00941014,1,8
0.00942014,0,1
0.00944014,0,1
0.00945014,1,16
0.00946014,0,1
0.00948014,0,1
0.00950014,0,1
0.00952014,0,1
0.00954014,0,1
0.00956014,0,1
0.00958014,0,1
0.00960014,0,1
0.00962014,0,1
0.00964014,0,1
0.00966014,0,1
0.00968014,0,1
0.00970014,0,1
0.00972014,0,1
0.00974014,0,1
0.00976014,0,1
0.00978014,0,1
0.00980014,0,1
0.00982014,0,1
0.00984014,0,1
0.00984028,1,36
0.00986014,0,1
0.00988014,0,1
0.00990014,0,1
0.00990014,1,14
0.00992014,0,1
0.00994014,0,1
0.00996014,0,1
0.00998014,0,1
0.00999014,1,11
