time,step_1,step_2,step_3,step_4,step_5,
0.00210014,1,2,5,6,2,3,
0.00212014,1,2,5,6,2,3,
0.00214014,1,2,5,6,2,3,
0.00216014,1,2,5,6,2,3,
0.00218014,1,2,5,6,2,3,
0.00220014,1,2,5,6,2,3,
0.00222014,1,2,5,6,2,3,
0.00224014,1,2,5,6,2,3,
0.00226014,1,2,5,6,2,3,
0.00228014,1,2,5,6,2,3,
0.00230014,1,2,5,6,2,3,
0.00232014,1,2,5,6,2,3,
0.00234014,1,2,5,6,2,3,
0.00236014,1,2,5,6,2,3,
0.00238014,1,2,5,6,2,3,
0.00239014,1,2,5,6,4,3,
0.00240014,1,2,5,6,4,3,
0.00242014,1,2,5,6,4,3,
0.00244014,1,2,5,6,4,3,
0.00246014,1,2,5,6,4,3,
0.00248014,1,3,5,6,4,3,
0.00250014,1,3,5,6,4,3,
0.00252014,1,3,5,6,4,3,
0.00254014,1,3,5,6,4,2,
0.00256014,1,3,5,6,4,2,
0.00258014,1,3,5,6,4,2,
0.00260014,1,3,5,6,4,2,
0.00262014,1,3,5,6,4,2,
0.00264014,1,3,5,6,6,2,
0.00266014,1,3,5,6,6,2,
0.00268014,1,3,5,6,6,2,
0.00270014,1,3,5,6,6,2,
0.00272014,1,6,5,6,6,2,
0.00274014,1,6,5,6,6,2,
0.00276014,1,6,5,6,6,2,
0.00278014,1,6,5,6,6,2,
0.00280014,1,6,5,6,6,2,
0.00282014,1,5,5,6,6,2,
0.00284014,1,5,5,6,6,2,
0.00286014,1,5,5,6,6,2,
0.00288014,1,5,5,6,6,3,
0.00290014,1,5,5,6,6,3,
0.00292014,1,5,5,6,6,3,
0.00294014,1,5,5,6,6,3,
0.00296014,1,4,5,6,6,3,
0.00298014,1,4,5,6,6,3,
0.00300014,1,4,5,6,6,3,
0.00302014,1,4,5,6,6,3,
0.00304014,1,4,5,6,6,3,
0.00306014,1,4,2,6,6,3,
0.00308014,1,4,2,6,6,3,
0.00310014,1,4,6,6,6,3,
0.00312014,1,4,6,6,6,3,
0.00314014,1,4,6,6,6,3,
0.00316014,1,4,6,6,6,3,
0.00318014,1,4,6,6,6,3,
0.00320014,1,4,6,6,6,3,
0.00322014,1,4,6,6,6,3,
0.00324014,1,4,6,6,6,6,
0.00326014,1,4,6,6,6,6,
0.00328014,1,4,6,6,6,6,
0.00330014,1,4,6,6,6,6,
0.00332014,1,4,6,6,6,6,
0.00334014,1,4,6,6,6,6,
0.00336014,1,4,6,6,6,6,
0.00338014,1,2,6,6,6,6,
0.00340014,1,2,6,6,6,6,
0.00342014,1,2,6,6,6,6,
0.00344014,1,2,6,4,6,6,
0.00346014,1,2,6,4,6,6,
0.00348014,1,2,6,4,6,6,
0.00350014,1,2,6,4,6,6,
0.00351014,1,2,3,4,6,6,
0.00352014,1,2,3,4,6,6,
0.00354014,1,2,3,4,6,6,
0.00356014,1,2,3,4,6,6,
0.00358014,1,2,3,4,6,6,
0.00360014,1,2,3,4,6,6,
0.00362014,1,2,3,4,6,6,
0.00364014,1,2,3,4,6,6,
0.00366014,1,2,3,4,6,6,
0.00368014,1,2,3,4,6,6,
0.00370014,1,2,4,4,6,6,
0.00372014,1,2,4,4,6,6,
0.00374014,1,2,4,4,6,6,
0.00376014,1,2,4,6,6,6,
0.00378014,1,2,4,6,6,6,
0.00380014,1,2,5,6,6,6,
0.00382014,1,2,5,6,6,6,
0.00384014,1,2,5,6,6,6,
