time,performance
95,0
95,0
95.0001,0
95.0001,0
95.0001,0
95.0002,0
95.0002,0
95.0002,0
95.0003,0
95.0003,0
95.0003,0
95.0003,0
95.0004,0
95.0004,0
95.0004,0
95.0005,0
95.0005,0
95.0005,0
95.0006,0
95.0006,0
95.0006,0
95.0006,0
95.0007,0
95.0007,0
95.0007,0
95.0008,0
95.0008,0
95.0008,0
95.0009,0
95.0009,0
95.0009,0
95.0009,0
95.001,0
95.001,0
95.001,0
95.0011,0
95.0011,0
95.0011,0
95.0012,0
95.0012,0
95.0012,0
95.0012,0
95.0013,0
95.0013,0
95.0013,0
95.0014,0
95.0014,0
95.0014,0
95.0015,0
95.0015,0
95.0015,0
95.0015,0
95.0016,0
95.0016,0
95.0016,0
95.0017,0
95.0017,0
95.0017,0
95.0018,0
95.0018,0
95.0018,0
95.0018,0
95.0019,0
95.0019,0
95.0019,0
95.002,0
95.002,0
95.002,0
95.0021,0
95.0021,0
95.0021,0
95.0021,0
95.0022,0
95.0022,0
95.0022,0
95.0023,0
95.0023,0
95.0023,0
95.0024,0
95.0024,0
95.0024,0
95.0024,0
95.0025,0
95.0025,0
95.0025,0
95.0026,0
95.0026,0
95.0026,0
95.0027,0
95.0027,0
95.0027,0
95.0027,0
95.0027,0
95.0028,0
95.0028,0
95.0028,0
95.0029,0
95.0029,0
95.0029,0
95.003,0
95.003,0
95.003,0
95.003,0
95.0031,0
95.0031,0
95.0031,0
95.0032,0
95.0032,0
95.0032,0
95.0033,0
95.0033,0
95.0033,0
95.0033,0
95.0033,0
95.0034,0
95.0034,0
95.0034,0
95.0035,0
95.0035,0
95.0035,0
95.0036,0
95.0036,0
95.0036,0
95.0036,0
95.0037,0
95.0037,0
95.0037,0
95.0038,0
95.0038,0
95.0038,0
95.0039,0
95.0039,0
95.0039,0
95.0039,0
95.004,0
95.004,0
95.004,0
95.0041,0
95.0041,0
95.0041,0
95.0042,0
95.0042,0
95.0042,0
95.0042,0
95.0043,0
95.0043,0
95.0043,0
95.0044,0
95.0044,0
95.0044,0
95.0045,0
95.0045,0
95.0045,0
95.0045,0
95.0046,0
95.0046,0
95.0046,0
95.0047,0
95.0047,0
95.0047,0
95.0048,0
95.0048,0
95.0048,0
95.0048,0
95.0049,0
95.0049,0
95.0049,0
95.005,0
95.005,0
95.005,0
95.0051,0
95.0051,0
95.0051,0
95.0051,0
95.0052,0
95.0052,0
95.0052,0
95.0053,0
95.0053,0
95.0053,0
95.0054,0
95.0054,0
95.0054,0
95.0054,0
95.0055,0
95.0055,0
95.0055,0
95.0056,0
95.0056,0
95.0056,0
95.0057,0
95.0057,0
95.0057,0
95.0057,0
95.0058,0
95.0058,0
95.0058,0
95.0059,0
95.0059,0
95.0059,0
95.006,0
95.006,0
95.006,0
95.006,0
95.0061,0
95.0061,0
95.0061,0
95.0062,0
95.0062,0
95.0062,0
95.0063,0
95.0063,0
95.0063,0
95.0063,0
95.0064,0
95.0064,0
95.0064,0
95.0065,0
95.0065,0
95.0065,0
95.0066,0
95.0066,0
95.0066,0
95.0066,0
95.0067,0
95.0067,0
95.0067,0
95.0068,0
95.0068,0
95.0068,0
95.0069,0
95.0069,0
95.0069,0
95.0069,0
95.007,0
95.007,0
95.007,0
95.0071,0
95.0071,0
95.0071,0
95.0072,0
95.0072,0
95.0072,0
95.0072,0
95.0073,0
95.0073,0
95.0073,0
95.0074,0
95.0074,0
95.0074,0
95.0075,0
95.0075,0
95.0075,0
95.0075,0
95.0076,0
95.0076,0
95.0076,0
95.0077,0
95.0077,0
95.0077,0
95.0077,0
95.0078,0
95.0078,0
95.0078,0
95.0078,0
95.0079,0
95.0079,0
95.0079,0
95.008,0
95.008,0
95.008,0
95.0081,0
95.0081,0
95.0081,0
95.0081,0
95.0082,0
95.0082,0
95.0082,0
95.0083,0
95.0083,0
95.0083,0
95.0084,0
95.0084,0
95.0084,0
95.0084,0
95.0084,0
95.0085,0
95.0085,0
95.0085,0
95.0086,0
95.0086,0
95.0086,0
95.0087,0
95.0087,0
95.0087,0
95.0087,0
95.0088,0
95.0088,0
95.0088,0
95.0089,0
95.0089,0
95.0089,0
95.009,0
95.009,0
95.009,0
95.009,0
95.0091,0
95.0091,0
95.0091,0
95.0092,0
95.0092,0
95.0092,0
95.0093,0
95.0093,0
95.0093,0
95.0093,0
95.0094,0
95.0094,0
95.0094,0
95.0095,0
95.0095,0
95.0095,0
95.0096,0
95.0096,0
95.0096,0
95.0096,0
95.0097,0
95.0097,0
95.0097,0
95.0098,0
95.0098,0
95.0098,0
95.0099,0
95.0099,0
95.0099,0
95.0099,0
95.01,0
95.01,0
95.01,0
95.0101,0
95.0101,0
95.0101,0
95.0102,0
95.0102,0
95.0102,0
95.0102,0
95.0103,0
95.0103,0
95.0103,0
95.0104,0
95.0104,0
95.0104,0
95.0105,0
95.0105,0
95.0105,0
95.0105,0
95.0106,0
95.0106,0
95.0106,0
95.0107,0
95.0107,0
95.0107,0
95.0108,0
95.0108,0
95.0108,0
95.0108,0
95.0109,0
95.0109,0
95.0109,0
95.011,0
95.011,0
95.011,0
95.0111,0
95.0111,0
95.0111,0
95.0111,0
95.0112,0
95.0112,0
95.0112,0
95.0113,0
95.0113,0
95.0113,0
95.0114,0
95.0114,0
95.0114,0
95.0114,0
95.0115,0
95.0115,0
95.0115,0
95.0116,0
95.0116,0
95.0116,0
95.0117,0
95.0117,0
