time,performance
99,0
99,0
99,0
99.0001,0
99.0001,0
99.0001,0
99.0002,0
99.0002,0
99.0002,0
99.0002,0
99.0003,0
99.0003,0
99.0003,0
99.0004,0
99.0004,0
99.0004,0
99.0005,0
99.0005,0
99.0005,0
99.0005,0
99.0006,0
99.0006,0
99.0006,0
99.0007,0
99.0007,0
99.0007,0
99.0008,0
99.0008,0
99.0008,0
99.0008,0
99.0008,0
99.0009,0
99.0009,0
99.0009,0
99.0009,0
99.001,0
99.001,0
99.001,0
99.001,0
99.0011,0
99.0011,0
99.0011,0
99.0011,0
99.0012,0
99.0012,0
99.0012,0
99.0013,0
99.0013,0
99.0013,0
99.0014,0
99.0014,0
99.0014,0
99.0014,0
99.0015,0
99.0015,0
99.0015,0
99.0015,0
99.0016,0
99.0016,0
99.0016,0
99.0017,0
99.0017,0
99.0017,0
99.0017,0
99.0017,0
99.0018,0
99.0018,0
99.0018,0
99.0019,0
99.0019,0
99.0019,0
99.0019,0
99.0019,0
99.002,0
99.002,0
99.002,0
99.002,0
99.002,0
99.002,0
99.0021,0
99.0021,0
99.0021,0
99.0022,0
99.0022,0
99.0022,0
99.0023,0
99.0023,0
99.0023,0
99.0023,0
99.0024,0
99.0024,0
99.0024,0
99.0025,0
99.0025,0
99.0025,0
99.0025,0
99.0026,0
99.0026,0
99.0026,0
99.0026,0
99.0027,0
99.0027,0
99.0027,0
99.0028,0
99.0028,0
99.0028,0
99.0029,0
99.0029,0
99.0029,0
99.0029,0
99.0029,0
99.0029,0
99.003,0
99.003,0
99.003,0
99.003,0
99.0031,0
99.0031,0
99.0031,0
99.0032,0
99.0032,0
99.0032,6.2053
99.0032,6.2053
99.0032,6.2053
99.0033,6.2053
99.0033,6.2053
99.0033,6.2053
99.0033,3.9205
99.0034,3.9205
99.0034,3.9205
99.0034,3.9205
99.0034,3.9205
99.0034,3.9205
99.0035,3.9205
99.0035,3.9205
99.0035,3.9205
99.0035,3.9205
99.0036,3.9205
99.0036,3.9205
99.0036,3.9205
99.0037,3.9205
99.0037,3.9205
99.0037,3.9205
99.0038,3.9205
99.0038,3.9205
99.0038,3.9205
99.0038,3.9205
99.0038,3.9205
99.0039,3.9205
99.0039,3.9205
99.0039,3.9205
99.004,3.9205
99.004,3.9205
99.004,3.9205
99.0041,3.9205
99.0041,3.9205
99.0041,3.9205
99.0041,3.9205
99.0041,3.9205
99.0042,3.9205
99.0042,3.9205
99.0042,3.9205
99.0043,3.9205
99.0043,3.9205
99.0043,3.9205
99.0044,3.9205
99.0044,3.9205
99.0044,3.9205
99.0044,3.9205
99.0045,3.9205
99.0045,3.9205
99.0045,3.9205
99.0045,3.9205
99.0046,3.9205
99.0046,3.9205
99.0046,3.9205
99.0047,3.9205
99.0047,3.9205
99.0047,3.9205
99.0047,3.9205
99.0048,3.9205
99.0048,3.9205
99.0048,3.9205
99.0049,3.9205
99.0049,3.9205
99.0049,3.9205
99.0049,3.9205
99.005,3.9205
99.005,3.9205
99.005,3.9205
99.005,3.9205
99.0051,3.9205
99.0051,3.9205
99.0051,3.9205
99.0052,3.9205
99.0052,3.9205
99.0052,0.595299
99.0052,0.595299
99.0053,0.595299
99.0053,0.595299
99.0053,0.595299
99.0053,0.595299
99.0054,0.595299
99.0054,0.595299
99.0054,0.595299
