time,performance
2.8e-07,0.873253
1.014e-05,0.541932
2.014e-05,0.373456
4.014e-05,0.334165
0.00402014,0.584894
0.00402028,0.607652
0.00403014,0.634824
0.00405014,0.45752
0.00408028,0.353718
0.00804014,0
0.00805014,0.450048
0.00807014,0.587093
0.00810014,0.379968
0.00816014,0.348846
0.0120401,0.800855
0.0120601,0
0.0120603,0.700299
0.0120701,0.891532
0.0121201,0.763029
0.0121503,0.796092
0.0121801,0.318166
0.0160601,0.63959
0.0160803,0.634824
0.0161101,0
0.0161201,0.730889
0.0161401,0.763651
0.0161403,0.784757
0.0161703,0.555753
0.0162401,0.403705
0.0162701,0.359417
0.0201101,0
0.0201701,0.604906
0.0201901,0.608047
0.0202203,0.590422
0.0202503,0.423982
0.0202801,0.433596
0.0204001,0.323997
0.0241301,0
0.0241901,0.961026
0.0242101,0.585259
0.0242201,0.402837
0.0242801,0.614426
0.0243003,0.429619
0.0243401,0.423982
0.0244001,0.433796
0.0245201,0.315594
0.0281801,0
0.0282901,0.550206
0.0283201,0.333333
0.0283301,0.425909
0.0283601,0.44897
0.0284703,0.472993
0.0284901,0.329697
0.0322201,0.566848
0.0322501,0.553783
0.0322803,0.583074
0.0323001,0.931412
0.0324001,0.49109
0.0324901,0.414969
0.0324903,0.415337
0.0325203,0.335963
0.0325801,0.35777
0.0326301,0.350149
0.0362703,0.472755
0.0363003,0.470854
0.0363301,0
0.0363903,0.393202
0.0364601,0.733177
0.0365101,0.560407
0.0365301,0.409528
0.0366801,0.516538
0.0367501,0.503493
0.0367701,0.394859
0.0403201,0.508963
0.0403301,0
0.0403801,0.703453
0.0403901,0.620941
0.0404501,0.62053
0.0404701,0.644873
0.0405001,0.469204
0.0405401,0.546994
0.0405601,0.464091
0.0405903,0.470382
0.0407403,0.632254
0.0407703,0.483988
0.0408401,0.348846
0.0409601,0.38687
0.0410701,0.35818
0.0443403,0.507309
0.0444001,0.528781
0.0444301,0.511742
0.0444303,0.612819
0.0444601,0.5752
0.0444603,0.569259
0.0444901,0.682447
0.0445201,0.847197
0.0446401,0.712006
0.0446901,0.354521
0.0447903,0.552476
0.0448803,0.46991
0.0450701,0.345884
0.0484001,0.497875
0.0484503,0.730889
0.0484801,0.905314
0.0484901,0.808456
0.0485201,0.873253
0.0485701,0.832149
0.0486301,0.478061
0.0486303,0.443026
0.0486401,0.466401
0.0487201,0.329118
0.0489501,0.592288
0.0490501,0.333689
0.0525001,0.76117
0.0525301,0.759935
0.0525601,0.756866
0.0526001,0.90444
0.0526501,0.924975
0.0526503,0
0.0526901,0.38043
0.0527101,0.907946
0.0527901,0.354924
0.0530701,0.352919
0.0530801,0.46991
0.0531101,0.492122
0.0531901,0.546356
0.0533301,0.428833
0.0566101,0
0.0566401,0.570646
0.0567001,0.577682
0.0567003,0.59005
0.0567301,0
0.0567601,0.580905
0.0567701,0.559737
0.0567901,0.376003
0.0568401,0.36573
0.0568601,0.3748
0.0569101,0.329118
0.0571501,0.324221
0.0571901,0.329234
0.0572801,0.395025
0.0575001,0.328772
0.0606901,0
0.0607101,0.337293
0.0607201,0.428245
0.0607401,0.682945
0.0607601,0
0.0608101,0.41849
0.0608201,0.415705
0.0608701,0.533599
0.0609301,0.529977
0.0611201,0.348198
0.0613203,0.379814
0.0614001,0.388958
0.0614403,0.351463
0.0647103,0.47855
0.0647201,0.726357
0.0647701,0.513425
0.0647703,0.342096
0.0647801,0
0.0648001,0.946465
0.0648301,0.352123
0.0648501,0.445554
0.0649203,0.356816
0.0650101,0.686447
0.0650103,0.350805
0.0654401,0.351463
0.0654603,0.344359
0.0656103,0.625919
0.0656901,0.405803
0.0687901,0.59834
0.0688203,0
0.0688301,0.584165
0.0688901,0
0.0689101,0.508963
0.0689103,0.517108
0.0689401,0.50107
0.0689801,0.483239
0.0690001,0.372565
0.0690901,0.454413
0.0690903,0.4344
0.0693201,0.430014
0.0694203,0.429817
0.0694501,0.373158
0.0700101,0.490833
0.0700203,0.336566
0.0728501,0.99787
0.0729301,0
0.0730701,0.406331
0.0733801,0.59154
0.0734103,0.39586
0.0735001,0.487767
0.0736601,0.401801
0.0769501,0
0.0769901,0.693047
0.0770101,0.694074
0.0771001,0.698212
0.0771101,0.680959
0.0771201,0.32089
0.0771601,0.403184
0.0772201,0.734902
0.0772701,0.325121
0.0774701,0.470382
0.0776001,0.332978
0.0777601,0.345629
0.0777801,0.334404
0.0810301,0
0.0810901,0.923153
0.0811501,0.978079
0.0812001,0.461122
0.0813401,0.478305
0.0814901,0.486501
0.0815401,0.343601
0.0815701,0.407037
0.0816901,0.332741
0.0817701,0.341971
0.0818103,0.354387
0.0818501,0.357225
0.0818701,0.347681
0.0850901,0
0.0851103,0.373604
0.0852101,0.862006
0.0853901,0.822651
0.0855301,0.497082
0.0855601,0.354656
0.0856203,0.50594
0.0856803,0.356681
0.0858901,0.360662
0.0859001,0.345501
0.0891003,0.950304
0.0891303,0
0.0891501,0.885633
0.0891901,0.327966
0.0893401,0.676534
0.0893501,0
0.0893801,0.62425
0.0894101,0.521135
0.0897401,0.394029
0.0897701,0.310573
0.0898801,0.311296
0.0899701,0.307112
0.0900003,0.301286
0.0932201,0
0.0932301,0.800171
0.0932501,0.912366
0.0934203,0.885633
0.0934301,0.983211
0.0934601,0.984244
0.0935403,0.335361
0.0936301,0.524342
0.0937201,0.347294
0.0938101,0.388474
0.0938601,0.408635
0.0938703,0.351331
0.0941501,0.913255
0.0943801,0.363178
0.0972903,0.830674
0.0974001,0.320342
0.0975003,0
0.0976301,0.323103
0.0978301,0.400427
0.0978601,0.434803
0.0978603,0.4494
0.0979201,0.348846
0.0979501,0.333571
0.0981303,0.351595
0.0982301,0.371089
0.0983101,0.341846
0.0983103,0.411326
0.0984003,0.337901
0.10131,0
0.1015,0.386392
0.10153,0
0.10156,0.630976
0.10158,0.357907
0.1017,0.996809
0.10179,0.35479
0.10191,0.420745
0.10194,0.470146
0.10195,0.459539
0.10204,0.308528
0.10256,0.327622
0.10271,0.303236
0.10559,0.695104
0.10563,0.709311
0.10578,0.702926
0.10593,0.297555
0.10596,0.426685
0.10597,0.457967
0.10606,0.411506
0.10609,0.341971
0.10635,0.466169
0.10639,0.342847
0.10653,0.382293
0.1066,0.341472
0.10677,0.367163
0.10697,0.341597
0.10955,0.870009
0.10963,0.759319
0.10966,0
0.10971,0.819773
0.10975,0.383388
0.11001,0.702926
0.11007,0.693047
0.11048,0.811255
0.1107,0.388474
0.11358,0.373456
0.11377,0.592288
0.11381,0.532689
0.11394,0.520556
0.11395,0.336687
