time,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,
99,0,9,18,2,1,8,0,10,6,0,5,22,0,25,24,20,15,23,0,7,21,13,17,0,0,11,
99,0,9,18,2,1,8,0,10,6,0,5,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99,0,9,18,2,1,8,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0001,0,9,18,2,1,8,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0001,0,9,18,2,1,8,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0001,0,9,18,2,1,8,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0002,0,9,18,2,1,8,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0002,0,9,18,2,1,8,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0002,0,9,18,2,1,8,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0002,0,9,18,2,1,8,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0003,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0003,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0003,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0004,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0004,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0004,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0005,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0005,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0005,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0005,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0006,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0006,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0006,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0007,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0007,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0007,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0008,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,13,17,0,16,11,
99.0008,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,0,17,0,16,11,
99.0008,0,9,18,2,1,0,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,0,17,0,16,11,
99.0008,0,9,18,2,1,26,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,0,17,0,16,11,
99.0008,0,9,18,2,1,26,0,10,6,0,0,22,0,25,24,20,15,23,0,7,21,0,17,0,16,11,
99.0009,0,9,18,2,1,26,0,10,6,0,0,22,0,25,24,0,15,23,0,7,21,0,17,0,16,11,
99.0009,0,9,18,2,1,26,0,10,6,0,0,22,0,25,24,0,15,23,0,7,21,0,17,0,16,11,
99.0009,0,9,18,2,1,26,0,10,6,0,0,22,0,25,24,0,15,23,0,7,21,0,17,0,16,11,
99.0009,0,9,18,2,1,26,0,10,6,0,0,22,0,25,24,0,15,23,0,7,21,0,17,3,16,11,
99.001,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,15,23,0,7,21,0,17,3,16,11,
99.001,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,15,23,0,7,21,0,17,3,16,11,
99.001,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,15,23,0,7,21,0,17,3,16,11,
99.001,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,15,23,0,7,21,0,17,3,16,11,
99.0011,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,15,23,0,7,21,0,17,3,16,11,
99.0011,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,0,23,0,7,21,0,17,3,16,11,
99.0011,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,0,23,0,7,21,0,17,3,16,11,
99.0011,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,0,23,0,7,21,0,17,3,16,11,
99.0012,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,0,23,0,7,21,0,17,3,16,11,
99.0012,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,0,23,0,7,21,0,17,3,16,11,
99.0012,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,0,23,0,7,21,0,17,3,16,11,
99.0013,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,0,23,0,7,21,0,17,3,16,11,
99.0013,0,9,18,2,1,26,4,10,6,0,0,22,0,25,24,0,0,23,0,7,21,0,17,3,16,11,
99.0013,0,9,18,2,1,26,4,10,6,0,0,0,0,0,24,0,0,23,0,7,21,0,0,3,16,11,
99.0014,0,9,18,2,1,26,4,10,6,0,0,0,0,0,24,0,0,23,0,7,21,0,0,3,16,11,
99.0014,0,9,18,2,1,26,4,10,6,0,0,0,0,0,24,0,0,23,0,7,21,0,0,3,16,11,
99.0014,0,9,18,2,1,26,4,10,6,0,0,0,0,0,24,0,0,23,0,7,21,0,0,3,16,11,
99.0014,0,9,0,2,1,26,4,10,6,0,0,0,0,0,24,0,0,23,0,7,21,0,0,3,16,11,
99.0015,0,9,0,2,1,26,4,10,6,0,0,0,0,0,24,0,0,23,0,7,21,0,0,3,16,11,
99.0015,0,9,0,2,1,26,4,10,6,0,0,0,0,0,24,0,0,23,0,7,21,0,0,3,16,11,
99.0015,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,0,0,23,0,7,21,0,0,3,16,11,
99.0015,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,0,3,16,11,
99.0016,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,0,3,16,11,
99.0016,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,0,3,16,11,
99.0016,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,0,3,16,11,
99.0017,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,0,3,16,11,
99.0017,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,0,3,16,11,
99.0017,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,0,3,16,11,
99.0017,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,25,3,16,11,
99.0017,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,25,3,16,11,
99.0018,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,25,3,16,11,
99.0018,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,25,3,16,11,
99.0018,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,21,0,25,3,16,11,
99.0019,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,0,18,25,3,16,11,
99.0019,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,0,18,25,3,16,11,
99.0019,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,0,18,25,3,16,11,
99.0019,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,0,7,0,18,25,3,16,11,
99.0019,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,14,7,0,18,25,3,16,11,
99.002,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,14,7,0,18,25,3,16,11,
99.002,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,14,7,0,18,25,3,16,11,
99.002,0,9,0,2,1,26,4,10,0,0,0,0,0,0,24,5,0,23,14,7,0,18,25,3,16,11,
99.002,0,9,0,2,1,26,4,10,0,0,0,12,0,0,24,5,0,23,14,7,0,18,25,3,16,11,
99.002,0,9,0,2,1,26,4,10,0,0,0,12,0,0,24,5,0,23,14,7,0,18,25,3,16,11,
99.002,0,9,0,2,1,26,4,10,0,0,15,12,0,0,24,5,0,23,14,7,0,18,25,3,16,11,
99.0021,0,9,0,2,1,26,4,10,0,0,15,12,0,0,24,5,0,23,14,7,0,18,25,3,16,11,
99.0021,0,9,0,2,1,26,4,10,0,0,15,12,0,0,24,5,0,23,14,7,0,18,25,3,16,11,
