time,performance
0.00016014,6.2053
0.00019028,3.59004
0.00021014,2.53243
0.00028014,2.01505
0.00242014,0.325686
0.00435028,0.334762
0.00440014,0.340603
0.00441014,0.4397
0.00444014,0.713633
0.00446014,0.456405
0.00451014,0.427659
0.00453014,0.895793
0.00453028,0.721324
0.00459014,0.770559
0.00464014,0.623835
0.00465014,0.640027
0.00477028,0.425909
0.00500014,0.433395
0.00529014,0.426685
0.00539014,0.432196
0.00620014,0.489807
0.00651014,0.321441
0.00866014,0.352123
0.00877014,0.390092
0.00890014,0.466633
0.00896014,0.459539
0.00897028,0.444076
0.00898014,0.48853
0.00906028,0.499467
0.00909028,0.448755
0.00941014,0.657544
0.0100101,1.0207
0.0106701,0.556413
0.0112801,0.404402
0.0113101,0.411506
0.0131201,0.512863
0.0131401,0.870818
0.0132303,0.544767
0.0132501,1.05518
0.0135101,2.3425
0.0137703,0.913255
0.0138603,0.663598
0.0140701,0.711465
0.0140801,0.593038
0.0144801,0.498404
0.0145803,0.487006
0.0146501,0.413322
0.0149403,0.501875
0.0158403,0.487767
0.0171101,0.348586
0.0175001,0.386232
0.0175201,0.471091
0.0176703,1.30683
0.0178901,0.767404
0.0180701,0.760552
0.0183401,0.756866
0.0184503,0.809154
0.0186101,0.802913
0.0191103,0.453533
0.0191104,0.369043
0.0191703,0.476602
0.0192003,0.498935
0.0194701,0.5267
0.0198401,0.476845
0.0204903,0.412231
0.0211203,0.43683
0.0216903,0.404927
0.0218101,0.390905
0.0222501,1.37997
0.0225301,1.87776
0.0228001,1.92008
0.0228603,0.420368
0.0229601,0.980126
0.0233901,0.979101
0.0235001,0.89751
0.0239201,1.0365
0.0248701,0.43622
0.0250401,0.392872
0.0251601,0.432196
0.0258601,0.433796
0.0260001,1.35797
0.0269703,0.43683
0.0270201,1.87026
0.0274301,2.21513
0.0277203,2.32506
0.0277803,0.772465
0.0280601,0.446829
0.0280801,0.434198
0.0291601,0.641342
0.0296001,0.947422
0.0303003,1.08449
0.0305001,1.0308
0.0318001,0.937
0.0319501,0.953204
0.0320301,0.893232
0.0321701,0.888152
0.0323401,0.894084
0.0328701,0.98944
0.0342701,1.09591
0.0345901,0.990486
0.0352803,0.715814
0.0362301,0.675072
0.0363101,0.709311
0.0364503,1.48494
0.0365901,1.31417
0.0372601,1.16109
0.0382301,0.375551
0.0383201,0.333452
0.0388503,0.715267
0.0390001,0.483988
0.0391801,0.453973
0.0394901,0.479284
0.0395003,0.467332
0.0403201,0.407214
0.0405303,0.536655
0.0407601,0.607652
0.0411201,0.542559
0.0412001,0.633965
0.0416103,2.77219
0.0421201,0.7502
0.0422001,0.738377
0.0431601,0.707704
0.0435003,0.790051
0.0442203,0.737215
0.0444701,0.441149
0.0447603,0.427464
0.0448501,0.40917
0.0450901,0.374351
0.0452101,0.44619
0.0455001,0.431598
0.0458701,0.431201
0.0461201,1.20592
0.0461501,0.364308
0.0462401,0.350411
0.0463701,0.796769
0.0464801,0.52908
0.0471901,0.389443
0.0472503,0.37465
0.0474603,0.353986
0.0474701,1.90447
0.0482201,0.359417
0.0493503,0.36094
0.0493801,0.452002
0.0494401,0.466633
0.0495901,0.485744
0.0498001,0.456628
0.0499501,0.467332
0.0505201,0.503222
0.0506201,0.770559
0.0507201,0.482741
0.0514503,0.488785
0.0517001,0.684441
0.0521403,0.490063
0.0524601,0.490833
0.0525301,0.500802
0.0536901,0.813368
0.0542703,0.500802
0.0544001,0.526997
0.0548901,0.542874
0.0555801,0.533295
0.0556501,1.16398
0.0560701,1.06963
0.0564101,1.06356
0.0566001,0.749001
0.0572901,0.769926
0.0577501,0.487513
0.0579801,0.479529
0.0588001,0.915039
0.0588201,0.956122
0.0591401,0.701347
0.0594003,0.701873
0.0600501,1.01407
0.0604001,1.31786
0.0612403,1.65841
0.0614201,1.57215
0.0629001,1.56167
0.0634501,0.43683
0.0635201,0.303531
0.0639901,0.318274
0.0643101,0.322658
0.0645301,0.327622
0.0645801,0.657544
0.0646301,0.678494
0.0650001,0.450914
0.0656301,0.485492
0.0661101,0.463174
0.0670701,0.529678
0.0675601,0.531782
0.0677101,0.722994
0.0677801,0.542245
0.0678701,0.56548
0.0679801,0.564458
0.0687001,6.94074
0.0688901,0.541932
0.0690201,0.532386
0.0691501,0.50594
0.0692201,0.519114
0.0699401,0.538815
0.0701703,0.551501
0.0704103,0.601412
0.0716001,0.674101
0.0720201,0.71911
0.0723101,0.659395
0.0726003,0.617666
0.0726303,0.734326
0.0729001,0.638283
0.0733801,1.02516
0.0734501,1.21688
0.0736001,0.619709
0.0744101,0.632681
0.0746901,0.61122
0.0748901,0.569605
0.0751101,0.535123
0.0760803,0.338634
0.0763301,0.361358
0.0766401,0.531782
0.0767501,0.405452
0.0768801,0.504849
0.0771101,0.529678
0.0784203,0.445131
0.0785501,0.453095
0.0785901,0.460216
0.0789801,0.467565
0.0790001,0.398723
0.0791701,0.380894
0.0792303,0.562088
0.0793401,0.919529
0.0800401,0.900962
0.0814803,1.12756
0.0823503,1.13301
0.0825901,1.10365
0.0835601,1.07086
0.0837001,0.563779
0.0837601,0.587829
0.0843201,0.790051
0.0852303,0.794741
0.0853301,0.86679
0.0856803,1.11814
0.0861603,0.872439
0.0868301,1.20282
0.0876303,0.555424
0.0877801,0.478305
0.0884001,0.560742
0.0884103,0.550206
0.0884501,2.51882
0.0888501,0.426685
0.0890401,0.544451
0.0895203,0.532992
0.0898101,0.434803
0.0898503,0.422643
0.0900303,0.414602
0.0903901,0.400941
0.0918303,0.41663
0.0921801,0.699254
0.0923601,0.416815
0.0927201,0.865189
0.0935501,0.937938
0.0941801,0.979101
0.0941901,1.17566
0.0943401,0.446616
0.0953501,0.441773
0.0953701,0.386073
0.0954501,0.369188
0.0961803,0.385438
0.0965401,0.373456
0.0966601,0.730889
0.0968301,0.604906
0.0977401,0.419052
0.0981903,0.335002
0.0984001,1.81238
0.0993801,1.97263
0.1007,0.32111
0.1008,0.325913
0.10099,0.401973
0.10126,0.428049
0.10146,0.460669
0.10158,0.48853
0.10184,0.484488
0.10194,0.399063
0.102,0.388313
0.10266,1.38405
0.10306,0.424943
0.10345,0.419803
0.1035,0.393202
0.10377,1.12216
0.10395,1.09977
0.10428,0.393532
0.1047,0.479775
0.10491,0.442398
0.10524,0.455961
0.10571,0.415521
0.1058,0.423216
0.10602,0.353986
0.10614,0.375702
0.10634,0.370795
0.10734,0.614024
0.1077,0.366302
0.10807,0.52759
0.10848,0.553455
0.10874,0.542874
0.10875,0.522879
0.10907,0.544135
0.10911,0.505666
0.10999,0.505394
0.11024,0.395025
0.11044,0.402491
0.11069,0.455075
0.11085,0.517394
0.11112,0.532084
0.11132,0.551826
0.11148,0.332623
0.11205,0.38703
0.11263,0.425329
0.11307,0.587093
0.11342,0.442817
0.11357,0.563779
0.11421,0.530277
0.11463,0.933267
0.11586,0.535123
0.11588,0.557406
0.1175,0.923153
0.11779,1.64386
0.11825,1.40269
0.11898,0.834372
0.11913,0.49109
0.11951,0.432994
0.11957,0.558403
0.11958,0.404402
0.12016,0.709848
0.12019,0.715267
0.12109,0.354924
0.12153,0.445978
0.12232,0.435005
0.12235,0.854927
0.12237,0.841113
0.12256,1.25267
0.12264,0.432395
0.12314,0.425329
0.12334,0.722436
0.12361,1.04693
0.12399,1.23127
0.12442,1.47327
0.12454,0.478061
0.12487,0.421313
0.12488,0.416444
0.12557,0.365018
0.12669,0.376305
0.12689,0.858845
0.12699,0.937
0.12719,0.539125
0.12771,0.540058
0.1281,0.535123
0.12834,0.427074
0.12855,0.528185
0.12875,0.550206
0.12894,0.991534
0.13014,0.376911
0.13029,0.378128
0.13114,0.436017
0.13135,0.423407
0.13153,0.422643
0.13181,0.481006
0.13198,0.498404
0.13226,1.31786
0.13275,1.14688
0.13281,0.546356
0.13318,0.520267
0.13348,0.417372
0.13352,0.460895
0.1341,0.547313
0.13497,0.547953
0.13522,0.550206
0.13598,0.746019
0.1362,0.708239
0.13622,0.622178
0.13627,0.784757
0.13661,1.45271
0.1372,0.990486
0.13734,2.07761
0.13765,1.7514
0.13803,0.805675
0.13894,0.755036
0.14142,0.355463
0.14222,1.19668
0.14253,1.23452
0.14334,1.09335
0.14484,1.0388
0.14613,1.11947
0.14646,1.00107
0.14667,0.980126
0.14759,0.61726
0.14784,0.562763
0.14812,0.910593
0.14814,0.789385
0.14867,0.365302
0.14883,0.391395
0.14901,0.399744
0.14934,0.687959
0.15023,0.343979
0.15031,0.328311
0.15051,3.40727
0.15061,0.48904
0.15073,0.507035
0.15087,0.520267
0.15159,0.518252
0.1518,0.570298
0.15195,0.619299
0.15234,0.446829
0.15332,0.386232
0.1536,0.4314
0.15363,0.407391
0.15393,0.359831
0.15419,0.517108
0.15427,0.411868
0.15433,0.405803
0.15465,0.429423
0.15495,0.615233
0.15526,0.755036
0.15582,0.684441
0.15595,0.689985
0.15627,0.775662
0.15634,0.699776
0.15681,0.674586
0.15714,0.669764
0.15765,0.704511
0.15766,0.459539
0.15768,0.424174
0.15802,0.433395
0.15832,0.446616
0.15846,0.461804
0.15853,0.4494
0.15868,0.577326
0.15938,0.668331
0.15949,0.688464
0.16019,0.66079
0.16026,0.636117
0.16139,0.640465
0.16141,0.620941
0.16147,0.543503
0.16147,0.517394
0.16174,0.367595
0.16213,1.43492
0.16314,1.3482
0.16324,1.27483
0.16405,0.4494
0.16467,0.810554
0.16503,0.453973
0.1656,0.82049
0.16611,0.859633
0.16684,0.761789
0.16689,0.708239
0.16735,0.780833
0.1681,0.70717
0.1685,0.783445
0.16854,0.788721
0.16947,0.766149
0.17016,0.522588
0.17074,0.975026
0.17077,0.578752
0.17078,1.29599
0.17175,1.13438
0.17237,1.29063
0.17289,1.09207
0.17393,1.48025
0.17511,1.59083
0.17526,0.932338
0.17557,1.11681
0.17585,1.13576
0.17608,1.2942
0.17616,1.09335
0.17661,0.391395
0.17666,0.610026
0.17687,0.562425
0.17709,0.381359
0.17739,0.65433
0.17742,0.591914
0.17804,0.545084
0.17825,0.337779
0.17898,0.564458
0.17951,0.303236
0.17976,1.5016
0.18035,1.48494
0.18038,1.03194
0.18072,0.322215
0.18093,0.454193
0.18115,0.467798
0.18164,0.447255
0.18177,0.516253
0.18179,0.82847
0.18203,0.507309
0.18303,0.503222
0.18342,0.414052
0.18371,0.427269
0.18383,0.418865
0.18394,0.423025
0.18402,1.33666
0.18425,0.4314
0.18444,0.427269
0.18455,0.433395
0.18537,0.72805
0.18566,0.663128
0.18569,0.622178
0.18571,0.483988
0.18594,0.78279
0.18609,1.17862
0.18634,1.18909
0.18672,1.04227
0.18691,0.455961
0.18708,0.450481
0.18792,0.41663
0.18798,0.392543
0.18819,0.417744
0.18855,0.425136
0.18857,0.389929
0.18884,1.20747
0.18972,1.12892
0.1899,1.00861
0.19035,0.70717
0.19076,0.582711
0.19098,0.992585
0.19149,0.493158
0.19168,0.510349
0.19238,0.513706
0.19288,0.521135
0.19308,0.5267
0.19357,0.351199
0.19386,0.335361
0.19476,0.845668
0.19553,1.1262
0.1959,0.415705
0.19599,0.62425
0.196,0.41793
0.1961,1.42185
0.19722,1.38815
0.19732,1.22164
0.19733,0.38719
0.19733,0.484488
0.19744,0.494198
0.19782,0.48904
0.19783,0.389281
0.198,0.384647
0.19868,0.330978
0.19936,0.62425
0.20013,0.510905
0.20071,0.544451
0.20076,0.515118
0.20139,0.580186
0.20164,0.575907
0.20183,0.709848
0.2021,0.762408
0.20214,0.671203
0.20217,2.21513
0.2023,0.642221
0.20358,0.587829
0.20403,0.623835
0.20424,0.570646
0.20439,0.736057
0.20464,0.655703
0.20583,0.537579
0.206,0.568913
0.20613,0.367163
0.20626,0.485996
0.20637,0.647994
0.20655,0.630552
0.20691,0.605688
0.20709,0.559737
0.20733,0.351463
0.20772,0.378586
0.20776,0.349888
0.20837,0.358729
0.20877,0.641342
0.20946,0.397034
0.20982,0.391722
0.20983,1.96025
0.21036,1.94398
0.21069,1.29063
0.21083,1.2628
0.21087,0.841869
0.21103,0.520556
0.21129,0.520267
0.2115,0.608442
0.21156,0.498404
0.21204,0.488785
0.21234,0.405277
0.21246,0.413322
0.21269,0.418865
0.21352,0.629281
0.21353,0.395359
0.21438,0.361218
0.21493,0.329003
0.21509,2.68481
0.2155,0.320342
0.21581,0.427074
0.21588,0.428637
0.21623,0.559069
0.21655,0.930487
0.21882,1.29778
0.21891,0.91683
0.21958,0.764274
0.21975,0.761789
0.22022,0.819773
0.22026,0.710387
0.22092,0.714177
0.2215,0.447042
0.22202,0.377366
0.2222,0.396027
0.22269,0.410965
0.22281,0.492122
0.22297,0.458415
0.22299,0.466401
0.22366,0.465012
0.22394,0.441773
0.22415,0.489295
0.22417,0.334882
0.22491,0.65433
0.2252,0.640027
0.22616,0.643544
0.22715,0.641781
0.22719,0.620941
0.22734,0.494459
0.22741,0.419803
0.22788,0.415153
0.22818,0.372713
0.22843,0.543503
0.2286,0.597958
0.22863,0.453314
0.22911,0.486248
0.22915,0.678986
0.22935,1.43492
0.2303,1.43712
0.23161,1.29241
0.23291,1.29063
0.23313,0.614426
0.23316,0.612018
0.23345,0.530277
0.23373,0.564458
0.23376,0.574847
0.23389,0.569951
0.23404,0.383859
0.2342,0.376759
0.23451,0.490063
0.23474,0.439082
0.23478,0.435611
0.23515,0.347939
0.23519,0.367884
0.23523,0.391886
0.23585,0.362336
0.23624,0.51427
0.23742,0.464551
0.23757,0.484739
0.23814,0.472516
0.23846,0.524342
0.23885,2.99361
0.24064,3.13378
0.2414,2.51206
0.24219,2.67714
0.24241,0.610026
0.24242,0.705572
0.24341,0.685944
0.24357,0.401285
0.24369,0.413869
0.24393,0.392214
0.24396,0.381826
0.24404,0.616853
0.24477,0.598722
0.245,0.567879
0.2452,0.612418
0.24631,1.07331
0.24647,0.513143
0.24668,0.489551
0.24678,0.891532
0.24758,0.437442
0.24849,0.329234
0.24876,0.373456
0.24884,0.379352
0.24888,0.393367
0.24894,0.400599
0.24934,0.393863
0.24946,0.416815
0.24979,0.411687
0.25008,0.380276
0.25057,0.386392
0.25091,0.439493
0.25115,0.827008
0.25116,0.31602
0.25187,0.48499
0.25278,0.331095
0.25302,0.357497
0.25304,0.455075
0.25311,0.453753
0.25328,0.478061
0.25375,0.304418
0.25423,0.391068
0.25427,0.337658
0.25537,0.574847
0.25542,0.618074
0.25597,0.619709
0.25665,0.628859
0.25667,0.694074
0.25746,0.714722
0.25764,0.595299
0.25773,0.553455
0.25874,0.372417
0.25875,0.365873
